Nom	Prénom	Date de naissance	Adresse	Email	Certificat	Paiement
Lam	Marilyne	1986-10-16	3 avenue des cochonnes	marilyne.lam586@gmail.com	True	True
Ronaldo	Felipe	2000-09-10	10 rue de la porte	ronaldo@gmail.com	True	False
Sapp	Bob	1970-09-09	4 allée du rocher	sapp@gmail.com	False	False
Paris	Victor	2000-04-03	3 rue de paris	paris@gmail.com	True	True
May	Floyd	1980-03-02	3 rue du fraisier	may@gmail.com	False	False
Pacquiao	Manny	1999-02-01	2 rue du pommier	pacquiao@gmail.com	False	False
Roger	Guillaume	1990-01-01	1 rue du verger	roger@gmail.com	True	True
Kanté	Ngolo	2000-03-09	3 rue de bondy	kante@gmail.com	True	True
Henry	Thierry	1980-01-01	1 rue du parc	henry@gmail.com	True	False
Vieira	Patrick	1975-01-01	3 rue du pacha	vieira@gmail.com	True	True
Petit	Manu	2000-09-13	1 rue garges	petit@gmail.com	False	True
Rodriguez	James	1999-09-01	5 rue du nord	rodrijames@gmail.com	False	True
Djorkaeff	Youri	1970-11-30	5 allée du verger	djokarim@gmail.com	True	False
